"ID","Hospcode","Kpi Year","Kpi No","Kpi ID","Kpi Provcode","Kpi Order","Kpi Definition","Kpi A Value","Kpi B Value","Kpi C Value","Kpi D Value","Kpi E Value","Kpi F Value","Kpi Result","Kpi Result Q1","Kpi Result Q2","Kpi Result Q3","Kpi Result Q4","Kpi Condition","Kpi Formula","Kpi Sql","Update โดย","Last Update","Kpi A Value Q1","Kpi B Value Q1","Kpi C Value Q1","Kpi D Value Q1","Kpi E Value Q1","Kpi F Value Q1","Kpi A Value Q2","Kpi B Value Q2","Kpi C Value Q2","Kpi D Value Q2","Kpi E Value Q2","Kpi F Value Q2","Kpi A Value Q3","Kpi B Value Q3","Kpi C Value Q3","Kpi D Value Q3","Kpi E Value Q3","Kpi F Value Q3","Kpi A Value Q4","Kpi B Value Q4","Kpi C Value Q4","Kpi D Value Q4","Kpi E Value Q4","Kpi F Value Q4","แนบไฟล์","แนบรูปภาพกิจกรรม","Ref","แนบรายงาน Quick Win ไตรมาส 1","แนบรายงาน Quick Win ไตรมาส 2","แนบรายงาน Quick Win ไตรมาส 3","แนบรายงาน Quick Win ไตรมาส 4","Rep Q1","Rep Q2","Rep Q3","Rep Q4","Content Date","Note","Key"
"19854","19","2563","14","1496","31","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:14","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19855","20","2563","14","1496","32","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:17","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19856","21","2563","14","1496","33","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:20","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19857","22","2563","14","1496","34","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:24","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19858","23","2563","14","1496","35","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:28","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19859","24","2563","14","1496","36","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:11:35","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19860","25","2563","14","1496","37","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:37","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19861","26","2563","14","1496","39","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:40","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19862","27","2563","14","1496","40","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:43","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19863","28","2563","14","1496","41","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:47","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19864","29","2563","14","1496","42","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:50","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19865","30","2563","14","1496","43","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:53","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19866","31","2563","14","1496","44","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:12:57","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19867","32","2563","14","1496","45","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:02","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
